prefix;maxDigits;minDigits;usage;info
5446;13;7;local network code;Sankt Anton am Arlberg
5447;13;7;local network code;Flirsch
5448;13;7;local network code;Pettneu am Arlberg
5449;13;7;local network code;Fließ
5472;13;7;local network code;Prutz
5473;13;7;local network code;Nauders
5474;13;7;local network code;Pfunds
5475;13;7;local network code;Feichten
5476;13;7;local network code;Serfaus
5477;13;7;local network code;Tösens
5510;13;7;local network code;Damüls
5512;13;7;local network code;Egg
5513;13;7;local network code;Hittisau
5514;13;7;local network code;Bezau
5515;13;7;local network code;Au
5516;13;7;local network code;Doren
5517;13;7;local network code;Riezlern
5518;13;7;local network code;Mellau
5519;13;7;local network code;Schröcken
5522;13;7;local network code;Feldkirch
5523;13;7;local network code;Götzis
5524;13;7;local network code;Satteins
5525;13;7;local network code;Nenzing
5526;13;7;local network code;Laterns
5550;13;7;local network code;Thüringen
5552;13;7;local network code;Bludenz
5553;13;7;local network code;Raggal
5554;13;7;local network code;Sonntag
5556;13;7;local network code;Schruns
5557;13;7;local network code;Sankt Gallenkirch
5558;13;7;local network code;Gaschurn
5559;13;7;local network code;Brand
5572;13;7;local network code;Dornbirn
5573;13;7;local network code;Hörbranz
5574;13;7;local network code;Bregenz
5575;13;7;local network code;Langen bei Bregenz
5576;13;7;local network code;Hohenems
5577;13;7;local network code;Lustenau
